Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,WESTBROOKE WBC LODEN RIGHT,6 Loden Ln,,Rochester,NY,14623,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.077368,-77.651570,10/29/2024,257135,2024-10-29 01:58:10,,,,03/26/2023,J1772
ELEC,KOEPPEL HYUNDAI CPE250 2,34- 45 43rd St,,Queens,NY,11101,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.754044,-73.919245,10/29/2024,261699,2024-10-29 02:00:49,,,,06/01/2023,CHADEMO J1772COMBO
ELEC,Patchogue - Municipal parking lot,Oak Street,,Patchogue,NY,11772,,888-356-8911,E,,Public,24 hours daily,,,4,,,FLO,https://flo.ca/,GPS,40.766962,-73.012854,10/29/2024,262332,2024-10-29 03:33:55,,,,06/07/2023,J1772
ELEC,CENTERS HEALTHC EV-1,170 Buffalo Avenue,Lot 1,Brooklyn,NY,11213,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.673435,-73.926002,10/29/2024,329797,2024-10-29 02:14:43,,,,03/05/2024,J1772
ELEC,TOYOTA MASSAPEQ WEST,3660 NY-27,,Seaford,NY,11783,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.673957,-73.497310,10/29/2024,331729,2024-10-29 01:45:00,,,,04/05/2024,J1772
ELEC,Bus Garage,2636 Genesee Street,,Retsof,NY,14539,,1-888-222-6618,E,,Public,,,,2,,,NOODOE,https://www.noodoe.com,GPS,42.830676,-77.888898,10/29/2024,333281,2024-10-29 03:58:24,,,,04/22/2024,J1772
ELEC,2360 Amsterdam Ave - Basement 2,2360 Amsterdam Ave,,New York,NY,10033,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,10,,,EVOKE,https://evokesystems.com/,GPS,40.846036,-73.933078,10/11/2024,356969,2024-10-11 18:09:31,P,,,12/03/2022,J1772
ELEC,HOSELTONCHEVY01 STATION 1,909 Fairport Rd,Near service bay doors,East Rochester,NY,14445,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.101796,-77.480894,10/29/2024,203290,2024-10-29 01:36:57,,,,12/30/2021,J1772
ELEC,BURNS MGT CARRIAGE 1,21 Carr Rd,,Saratoga Springs,NY,12866,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.131242,-73.752015,10/29/2024,121487,2024-10-29 01:00:55,,,,04/16/2019,J1772
ELEC,GGMC Parking MODA - Tesla Destination,89-14 Parsons Blvd,,Jamaica,NY,11432,,877-798-3752,E,,Public,,,,7,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.705133,-73.801443,07/01/2024,150686,2024-10-16 16:58:41,P,,,10/17/2018,J1772 TESLA
ELEC,Kings Nissan,2758 Coney Island Ave,,Brooklyn,NY,11235,,718-376-0538,E,,Public - Call ahead,Dealership business hours; Nissan vehicle use only,,,1,,,Non-Networked,,200-9,40.589167,-73.960707,02/12/2024,44329,2024-02-12 15:25:05,P,,,11/30/2011,J1772
ELEC,KIA ELMIRA CT-4020-1,951 County Rte 64,,Big Flats,NY,14903,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.155190,-76.871370,10/29/2024,206305,2024-10-29 01:37:51,,,,02/12/2022,J1772
ELEC,Auto Outlets of Wolcott,5671 Whiskey Hill Rd,,Wolcott,NY,14590,,,E,,Public,24 hours daily,,,6,,,SWTCH,https://swtchenergy.com/,200-8,43.208490,-76.815210,03/14/2024,251744,2024-03-14 18:02:10,P,,,08/24/2022,J1772
ELEC,Exit 21 (Catskill),370 NY-23,,Catskill,NY,12451,,866-816-7584,E,,Public,24 hours daily,,,2,,,EV Connect,http://evconnect.com/,GPS,42.246692,-73.885289,10/29/2024,168464,2024-10-29 03:09:24,,,,08/17/2020,J1772
ELEC,MOHAWK HARBOR01 STATION #3,220 Harborside Blvd,Parking deck,Schenectady,NY,12308,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.825252,-73.931190,10/29/2024,181903,2024-10-29 01:22:30,,,,01/27/2021,J1772
ELEC,Locey Lane,1 Locey Ln,,Central Valley,NY,10917,,866-816-7584,E,,Public,24 hours daily,,,4,,,EV Connect,http://evconnect.com/,GPS,41.315190,-74.135494,10/29/2024,158614,2024-10-29 03:09:13,,,,02/20/2020,J1772
ELEC,Gateway to Mount Beacon,788 Wolcott Ave,,Beacon,NY,12508,,866-816-7584,E,,Public,24 hours daily,,,2,,,EV Connect,http://evconnect.com/,GPS,41.492889,-73.958454,10/29/2024,230953,2024-10-29 03:10:22,,,,09/30/2022,J1772
ELEC,46-71 30th Place,46-71 30th Place,,Long Island City,NY,11101,,888-356-8911,E,,Public,24 hours daily,,,6,,,FLO,https://flo.ca/,GPS,40.743643,-73.936591,10/29/2024,226845,2024-10-29 03:32:39,,,,09/01/2022,J1772
ELEC,OYO Hotel Buena Vista Delhi,18718 State Highway 28,,Delhi,NY,13753,,949-945-2000,E,,Public,24 hours daily,A ACCOUNT_BALANCE ANDROID_PAY APPLE_PAY CREDIT D M V,,2,,,EVGATEWAY,http://evgateway.com/,200-8,42.265190,-74.919680,05/09/2024,334076,2024-05-09 20:32:20,P,,,06/22/2023,J1772
ELEC,Westminster Place - West,7475 Morgan Rd,,Westminster,NY,13090,,1-844-623-1001,E,,Public,24 hours daily,,,10,,,LIVINGSTON,https://www.solution.energy,GPS,43.132300,-76.207760,10/29/2024,350598,2024-10-29 04:06:44,,,,07/16/2024,J1772
ELEC,RIVERHEAD RIVER 2 #1,1947 Old Country Road,Tanger 2 - Suite 906. Three duel level chargers located in the parking lot between Cole Haan and Nike.,Riverhead,NY,11901,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.919684,-72.712696,10/29/2024,180156,2024-10-29 00:37:49,,,,01/27/2021,J1772
ELEC,NEW HARTFORD GW-1 1.1,8635 Clinton St,,New Hartford,NY,13413,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.092808,-75.316605,10/29/2024,174768,2024-10-29 01:06:34,,,,01/27/2021,J1772
ELEC,Ridgedale Manor - 300's,55 Pennels Dr.,Parking lot behind townhouses 314-320,Greece,NY,14626,,1-844-623-1001,E,,Public,24 hours daily,,,8,,,LIVINGSTON,https://www.solution.energy,GPS,43.212060,-77.707140,10/29/2024,350792,2024-10-29 04:06:45,,,,07/19/2024,J1772
ELEC,Quaker Street Branch Library,133 Bull St,,Delanson,NY,12053,,1-844-623-1001,E,,Public,24 hours daily,,,4,,,LIVINGSTON,https://www.solution.energy,GPS,42.731940,-74.193340,10/29/2024,223250,2024-10-29 04:06:09,,,,02/01/2022,J1772
ELEC,CEB Bldg,1 ResearchCircle,,Niskayuna,NY,12309,,800-663-5633,E,,Public,24 hours daily,,,13,,,Blink Network,http://www.blinkcharging.com/,GPS,42.828910,-73.874200,10/29/2024,148043,2024-10-29 00:09:16,,,,11/01/2018,J1772
ELEC,3 College Rd - Tesla Destination,3 College Rd,,Monsey,NY,10952,,877-798-3752,E,,Public,,,,6,,,Non-Networked,,GPS,41.110744,-74.090188,07/01/2024,358926,2024-10-16 16:58:41,P,,,,J1772
ELEC,ECS Main Office - Parking Lot,55 9th St,,Brooklyn,NY,11215,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,2,,,EVOKE,https://evokesystems.com/,GPS,40.674200,-73.995800,10/11/2024,357057,2024-10-11 18:09:31,P,,,11/30/2021,J1772
ELEC,HVCC - Lot A,80 Vandenburgh Ave,,Troy,NY,12180,,1-844-623-1001,E,,Public,24 hours daily,,,6,,,LIVINGSTON,https://www.solution.energy,GPS,42.696830,-73.687880,10/29/2024,334512,2024-10-29 04:05:25,,,,05/02/2024,J1772
ELEC,2112-2124 NY 7 EV2,2114 NY-7 2114 New York 7,Main Parking Lot EV 2,Troy,NY,12180,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.807059,-73.545194,10/29/2024,190055,2024-10-29 01:28:46,,,,05/25/2021,J1772
ELEC,Old Westbury Golf and Country Club - Tesla Destination,270 Wheatley Road,,Old Westbury,NY,11568,,877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.802151,-73.601366,07/01/2024,168994,2024-10-16 16:58:41,P,,,12/16/2015,J1772 TESLA
ELEC,LARKIN726RRAMPP LARKIN 3,726 Exchange St,,Buffalo,NY,14210,,888-758-4389,E,,Public,Mon 5:00pm - 10:00pm; Tue 5:00pm - 10:00pm; Wed 5:00pm - 10:00pm; Thu 5:00pm - 10:00pm; Fri 5:00pm - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.874883,-78.849816,10/29/2024,182985,2024-10-29 01:00:03,,,,01/27/2021,J1772
ELEC,Pinnacle North,20 North Shore Blvd.,,Canandaigua,NY,14424,,888-998-2546,E,,Public,24 hours daily,,,4,,,Blink Network,http://www.blinkcharging.com/,GPS,42.876493,-77.269362,10/29/2024,200490,2024-10-29 00:13:43,,,,11/01/2021,J1772
ELEC,Pine Brook Fitness,130 Rhodes,,New Rochelle,NY,10801,,1-844-623-1001,E,,Public,24 hours daily,,,2,,,LIVINGSTON,https://www.solution.energy,GPS,40.917540,-73.776620,10/29/2024,334489,2024-10-29 04:06:20,,,,05/02/2024,J1772
ELEC,Hatchet Hardware of Niskayuna,1448 Balltown Road,,Niskayuna,NY,12309,,888-356-8911,E,,Public,24 hours daily,,,6,,,FLO,https://flo.ca/,GPS,42.814289,-73.892131,10/29/2024,171482,2024-10-29 03:33:23,,,,01/27/2021,J1772
ELEC,Gates Express and Deli,2206 Buffalo Rd,,Rochester,NY,14624,,949-945-2000,E,,Public,24 hours daily,A ACCOUNT_BALANCE ANDROID_PAY APPLE_PAY CREDIT D M V,,4,,,EVGATEWAY,http://evgateway.com/,200-8,43.147650,-77.710760,05/09/2024,334123,2024-05-09 20:32:20,P,,,11/10/2023,J1772
ELEC,GreenSpark Solar,317 NY-104,,Ontario,NY,14519,,585-265-2384,E,,Public - Credit card at all times,24 hours daily; priority access given to employees,A D Debit M V,,6,,,Non-Networked,,GPS,43.226726,-77.363446,04/14/2024,226513,2024-04-14 22:11:34,P,,,08/25/2022,J1772
ELEC,NAA NAA 6,2000 Dealer Drive,,Newburgh,NY,12550,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.517660,-74.093727,10/29/2024,347840,2024-10-29 02:20:05,,,,06/14/2024,J1772
ELEC,Village of Arcade - Municipal Parking Lot,17 Church St,,Arcade,NY,14009,,585-492-1111,E,,Public,24 hours daily,,,2,,,Non-Networked,,GPS,42.534763,-78.423960,04/14/2024,157963,2024-04-14 22:11:34,P,,,05/15/2020,J1772
ELEC,RRH CARTER 1 FL GW1,1415 Portland Ave,,Rochester,NY,14621,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.191475,-77.589269,10/29/2024,174458,2024-10-29 01:03:42,,,,01/27/2021,J1772
ELEC,Icon Parking 101 W 15th - Tesla Destination,101 W 15th St,,New York,NY,10011,,877-798-3752,E,,Public,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.738371,-73.996880,07/01/2024,114992,2024-10-16 16:58:41,P,,,08/10/2018,TESLA
ELEC,Village of Voorheesville Public Parking,29 Voorheesville Ave,,Voorheesville,NY,12186,,518-765-2692,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,2,,,Non-Networked,,GPS,42.651438,-73.928356,03/14/2024,229082,2024-03-14 18:02:10,P,,,09/17/2022,J1772
ELEC,Simon-Simth Haven Mall,313 SMITH HAVEN MALL,,Lake Grove,NY,11755,,833-632-2778,E,,Public,24 hours daily,,,1,3,,Electrify America,https://www.electrifyamerica.com/,GPS,40.862450,-73.128750,10/29/2024,169949,2024-10-29 02:57:15,,,,12/05/2020,J1772 J1772COMBO
ELEC,SGE - St. George Courthouse,54 Central Ave,,Staten Island,NY,10301,,866-816-7584,E,,Public,Mon 6:00am - 10:00pm; Tue 6:00am - 10:00pm; Wed 6:00am - 10:00pm; Thu 6:00am - 10:00pm; Fri 6:00am - 10:00pm; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,,,3,,,EV Connect,http://evconnect.com/,GPS,40.639469,-74.076912,10/29/2024,65296,2024-10-29 03:08:54,,,,08/08/2016,J1772
ELEC,MHM WALL STREET 4,1 Wall St,Rear of office,Albany,NY,12205,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.741673,-73.843315,10/29/2024,235731,2024-10-29 01:46:19,,,,11/05/2022,J1772
ELEC,TWN POUND RIDGE STATION #1,80 Westchester Ave,,Pound Ridge,NY,10576,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.190993,-73.553184,10/29/2024,188058,2024-10-29 01:27:54,,,,04/28/2021,J1772
ELEC,STONY BROOK UNV ESS,Campus Dr,,Stony Brook,NY,11790,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.914369,-73.125742,10/29/2024,162403,2024-10-29 00:37:06,,,,06/12/2020,J1772
ELEC,STONY BROOK UNV AERTC 1,1000 Innovation Road,,Stony Brook,NY,11790,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.904154,-73.134871,10/29/2024,162348,2024-10-29 00:50:39,,,,06/12/2020,J1772
ELEC,MONTANTE SOLAR STATION 1,1277 Delaware Ave,Parking garage first floor,Buffalo,NY,14209,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.918166,-78.867129,10/29/2024,217204,2024-10-29 01:43:02,,,,05/08/2022,J1772
ELEC,MOHAWK CHEVY MOHAWKCHEVY3,639 67,,Malta,NY,12020,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.968958,-73.811079,10/29/2024,217437,2024-10-29 01:41:40,,,,05/13/2022,J1772
ELEC,The Preston House & Hotel - Tesla Destination,428 E Main St,,Riverhead,NY,11901,,877-798-3752,E,,Public,,,,2,,,Non-Networked,,GPS,40.918929,-72.656716,07/01/2024,359361,2024-10-16 16:58:41,P,,,,J1772
ELEC,30 Becker,30 Becker Rd,,West Henrietta,NY,14586,,1-888-717-4544,E,,Public,24 hours daily,,,10,,,CHARGESMART_EV,https://chargesmartev.com,GPS,43.043757,-77.673904,10/29/2024,347947,2024-10-29 04:09:29,,,,06/14/2024,J1772
ELEC,Bradley Pl Apts - Parking Lot,56 Davis St,,Phoenix,NY,13135,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,2,,,EVOKE,https://evokesystems.com/,GPS,43.234800,-76.300500,10/11/2024,357063,2024-10-11 18:09:31,P,,,11/15/2021,J1772
ELEC,GLPIZZA.COM GL PIZZA LEFT,444 Indian Church Rd,Charger 1 West Parking Area,Buffalo,NY,14224,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.854747,-78.789976,10/29/2024,302804,2024-10-29 02:04:42,,,,07/19/2023,J1772
ELEC,VANKLEECKS TIRE VANLKEECKS TIRE,1987 Ulster Ave,,Lake Katrine,NY,12449,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.991154,-73.986860,10/29/2024,143464,2024-10-29 01:03:23,,,,08/15/2019,J1772
ELEC,STATE STREET CHARGE 2,422 E State St,,Olean,NY,14760,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.077148,-78.424655,10/29/2024,346403,2024-10-29 02:17:05,,,,05/17/2024,J1772
ELEC,Yellowstone Blvd - Garage Floor A,66-36 Yellowstone Blvd,,Forest Hills,NY,11375,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,70,,,EVOKE,https://evokesystems.com/,GPS,40.728588,-73.853577,10/11/2024,357086,2024-10-11 18:09:31,P,,,01/04/2022,J1772
ELEC,THE HYDE STATION 2,153 Warren St,Side parking lot of the Hyde museum,Glens Falls,NY,12801,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.310382,-73.634822,10/29/2024,221196,2024-10-29 01:43:19,,,,06/11/2022,J1772
ELEC,Ruge's Chevrolet,3692 Route 44,,Millbrook,NY,12545,,845-444-3039,E,,Public - Call ahead,Dealership business hours; for customer use only,,,1,,,Non-Networked,,200-9,41.791563,-73.659717,03/08/2023,53442,2024-01-31 22:07:01,P,,,10/01/2012,J1772
ELEC,BMWHV HV FAST CHARGER,2066-20 South Rd,By repair bay,Poughkeepsie,NY,12601,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.630563,-73.914486,10/29/2024,220961,2024-10-29 01:44:17,,,,06/08/2022,CHADEMO J1772COMBO
ELEC,GREATNECK PLAZA PLAZA CENTER,2 Gussack Plaza,"Village of Great Neck Plaza ""Plaza Centre"" parking garage, follow traffic flow signs back down to street level B, station to the right.",Great Neck,NY,11022,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.787424,-73.729999,10/29/2024,250806,2024-10-29 00:47:27,,,,01/17/2023,J1772
ELEC,3500 Dekalb Ave,3500 Dekalb Ave,,Bronx,NY,10467,,888-356-8911,E,,Public,24 hours daily,,,2,,,FLO,https://flo.ca/,GPS,40.882337,-73.880265,10/29/2024,201636,2024-10-29 03:32:17,,,,11/25/2021,J1772
ELEC,EVolve NY Plattsburgh,25 Consumer Square,,Plattsburgh,NY,12901,,833-632-2778,E,,Public,24 hours daily,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,44.694080,-73.485290,10/29/2024,202274,2024-10-29 02:56:06,,,,12/09/2021,CHADEMO J1772COMBO
ELEC,COLACINO INUSTR COLACINO 3,126 Harrison Street,Off Harrison St in front of Colacino Industries,Newark,NY,14513,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.048900,-77.093970,10/29/2024,174196,2024-10-29 01:04:30,,,,01/27/2021,J1772
ELEC,Holiday Inn Utica (Burrstone Inn),1777 Burrstone Rd,,New Hartford,NY,13413,,866-816-7584,E,,Public,24 hours daily,,,2,,,EV Connect,http://evconnect.com/,GPS,43.094105,-75.284895,10/29/2024,195713,2024-10-29 03:09:02,,,,09/03/2021,J1772
ELEC,HAMPTON INN STATION 4,1120 South Ave,Side of Hampton Inn & Suites,Staten Island,NY,10314,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.612678,-74.178885,10/29/2024,181661,2024-10-29 01:21:03,,,,01/27/2021,J1772
ELEC,New Tech Energy,800 Ocean Pkwy,,Brooklyn,NY,11230,,833-692-6787,E,,Public - Credit card at all times,Contact station for hours of availability.,A ANDROID_PAY APPLE_PAY CREDIT D M,,1,,,AMPUP,https://ampup.io/,200-9,40.628872,-73.971992,10/11/2022,230231,2023-02-14 15:54:11,P,,,09/15/2022,J1772
ELEC,The Sherburne News,17 E State St,,Sherburne,NY,13460,,607-674-6071,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,2,,,Non-Networked,,GPS,42.678484,-75.497735,03/08/2023,197539,2024-01-31 22:07:01,P,,,10/04/2021,J1772
ELEC,George's Island Park,Dutch Street,,Montrose,NY,10548,,888-356-8911,E,,Public,24 hours daily,,,12,,,FLO,https://flo.ca/,GPS,41.236867,-73.938597,10/29/2024,353052,2024-10-29 03:34:37,,,,08/18/2024,J1772
ELEC,TDC Building 6,1483 Military Turnpike,,Plattsburgh,NY,12901,,1-844-623-1001,E,,Public,24 hours daily,,,2,,,LIVINGSTON,https://www.solution.energy,GPS,44.689780,-73.509920,10/29/2024,324870,2024-10-29 04:06:16,,,,11/10/2023,J1772
ELEC,Kendal at Ithaca 1 (South Lot),2230 N Triphammer Rd,,Ithaca,NY,14850,,1-888-717-4544,E,,Public,24 hours daily,,,4,,,CHARGESMART_EV,https://chargesmartev.com,GPS,42.474763,-76.484843,10/29/2024,347357,2024-10-29 04:09:19,,,,06/04/2024,J1772
ELEC,TOB CHARGERS EV STATION 1,1 Independence Hill,,Farmingville,NY,11738,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.845511,-73.015725,10/29/2024,185143,2024-10-29 01:22:57,,,,02/18/2021,J1772
ELEC,HEATHERWOOD SUNRIVER,201 Jerusalem Hollow Rd,In front of mailboxes and dog run next to building 4,Manorville,NY,11949,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.825446,-72.811230,10/29/2024,308794,2024-10-29 02:07:36,,,,09/09/2023,J1772
ELEC,SIENA COLLEGE FOY HALL EVSE2,Friars Dr,rear parking lot of Foy Hall,Latham,NY,12110,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.719470,-73.753160,10/29/2024,193845,2024-10-29 01:31:15,,,,08/13/2021,J1772
ELEC,NORTHTOWN CENTE NORTHTOWN CENTE,1615 Amherst Manor Dr,,Buffalo,NY,14221,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.995621,-78.783178,10/29/2024,213340,2024-10-29 01:41:58,,,,04/02/2022,J1772
ELEC,Stevens Manor East,644 Silver Lake-Scotchtown Road,,Middletown,NY,10941,,1-844-623-1001,E,,Public,24 hours daily,,,8,,,LIVINGSTON,https://www.solution.energy,GPS,41.476270,-74.377120,10/29/2024,334473,2024-10-29 04:06:23,,,,05/02/2024,J1772
ELEC,Metro Ford,3601 State St,,Schenectady,NY,12304,,1-844-623-1001,E,,Public,24 hours daily,,,6,2,,LIVINGSTON,https://www.solution.energy,GPS,42.770870,-73.892330,10/29/2024,350369,2024-10-29 04:06:40,,,,07/11/2024,J1772 J1772COMBO
ELEC,Quik Park 82nd Street LLC - Tesla Destination,350 E. 82nd St,,New York,NY,10028,,877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.774511,-73.952039,07/01/2024,115108,2024-10-16 16:58:41,P,,,11/20/2015,J1772 TESLA
ELEC,854ELLICOTT 854 ELLICOTT 2,854 Ellicott St,Near main entrance,Buffalo,NY,14203,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.901762,-78.867248,10/29/2024,180117,2024-10-29 00:55:33,,,,01/27/2021,J1772
ELEC,KINGSTON VISITORS CENTER,2 Broadway,Free Parking,Kingston,NY,12401,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.918516,-73.982758,10/29/2024,162261,2024-10-29 00:54:51,,,,06/12/2020,J1772
ELEC,Icon Parking 205 E 63rd St - Tesla Destination,205 E 63rd St,,Manhattan,NY,10065,,877-798-3752,E,,Public,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.763981,-73.964368,07/01/2024,114974,2024-10-16 16:58:41,P,,,10/20/2016,TESLA
